day,time,windspd,rel_hum,lat,lon,lon_ref,summertime,slope,aspect,elevation,albedo,roughness,met_elevation,lapse,layer_thicknesses,area_w,area_l,dense_ice_constant,extinction_coefficient,delta_t,densities,lf,l_star,inswrad,avp,airtemp,n_layers,volumes,masses,total_depth,qe,qh,k
215.0,1100.0,4.66,0.784852,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[565.691160457084, 568.6299703896935, 573.7503701721236, 581.5542374280798, 590.7616586030612, 597.5541498167872]",333700,-65.4,546.1,460.5977715,3.51,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[5.6569116045708405, 11.37259940779387, 22.950014806884944, 46.524338994246385, 94.52186537648979, 191.2173279413719]",0.6300000000000001,-31.967787122630114,42.25673234743924,"[114488.5975547104, 209363.5776191854, 350380.0589424953, 492428.07761998056, 493253.52386536, 261177.665964192]"
215.0,1200.0,5.47,0.7868455,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[526.7709515267848, 533.0435698337792, 543.9725901348237, 560.6292238530853, 580.2816137478998, 594.779558737314]",333700,-64.4,619.5,461.3232458,3.7,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[5.267709515267848, 10.660871396675585, 21.75890360539295, 44.85033790824682, 92.84505819966397, 190.3294587959405]",0.6300000000000001,-36.64237390170005,51.293196573335074,"[129876.73720040852, 237503.63731017255, 397473.8079378794, 558614.1623980553, 559550.5549067763, 296281.933830465]"
215.0,1300.0,7.16,0.747984333,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[484.640375080201, 494.5217938647781, 511.73856383456007, 537.9781922091928, 568.93711321542, 591.7761030829238]",333700,-66.1,670.6,438.1683109,3.73,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[4.84640375080201, 9.890435877295563, 20.469542553382404, 43.03825537673543, 91.0299381144672, 189.36835298653563]",0.6300000000000001,-53.411397124453245,65.22951169648384,"[140589.73360225014, 257094.33281711332, 430259.7830559193, 604691.9407653526, 605705.5724301602, 320721.0085984017]"
215.0,1400.0,7.56,0.727156167,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[441.15277439972783, 454.7592329853528, 478.4662807969184, 514.5975717142594, 557.2272067606295, 588.6759062383534]",333700,-68.3,692.2,425.3739399,3.55,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[4.411527743997278, 9.095184659707057, 19.138651231876736, 41.16780573714075, 89.15635308170073, 188.37628999627307]",0.6300000000000001,-60.12429091939856,65.05111893131313,"[145118.12347073905, 265375.33130928414, 444118.4339864407, 624169.0447327425, 625215.3254341737, 331051.41985060193]"
215.0,1500.0,7.87,0.722950333,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[399.4431267664338, 416.6223301135666, 446.55430635500807, 492.1728477232362, 545.9960497318294, 585.7024582679543]",333700,-68.7,663.9,422.4871104,3.49,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[3.9944312676643383, 8.332446602271332, 17.862172254200324, 39.373827817858896, 87.35936795709272, 187.42478664574537]",0.6300000000000001,-63.18458026877966,66.17258767574482,"[139185.0941523022, 254525.68976630122, 425961.03485061834, 598650.4316643567, 599653.9360816929, 317516.6680710988]"
215.0,1600.0,8.02,0.714605667,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[360.74280602218147, 381.23698266813767, 416.9447623631166, 471.3660545639195, 535.5752141696352, 582.9435428442973]",333700,-68.6,616.0,417.0813457,3.39,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[3.6074280602218147, 7.624739653362753, 16.677790494524665, 37.70928436511356, 85.69203426714162, 186.54193371017516]",0.6300000000000001,-66.06324735856884,65.32518918585535,"[129142.97032357013, 236161.80885079294, 395228.19320376706, 555458.1501811171, 556389.2523366815, 294608.0245997844]"
215.0,1700.0,7.17,0.712362667,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[328.7899113297679, 352.0210935273176, 392.49766159318807, 454.18693930283433, 526.9712580544857, 580.6656461162585]",333700,-68.6,508.6,415.2402036,3.6,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[3.287899113297679, 7.040421870546352, 15.699906463727523, 36.33495514422675, 84.31540128871771, 185.81300675720271]",0.6300000000000001,-60.609651487993965,63.05081551228789,"[106626.80958858404, 194986.8441258333, 326319.9010770063, 458613.6610099289, 459382.42490005883, 243242.92420689994]"
215.0,1800.0,9.04,0.712550833,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[301.8881623968315, 327.42368155307616, 371.9151831234999, 439.7235158761795, 519.7274239834928, 578.7478415961125]",333700,-59.4,428.2,414.7685465,3.57,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[3.018881623968315, 6.5484736310615235, 14.876607324939997, 35.17788127009436, 83.15638783735885, 185.199309310756]",0.6300000000000001,-73.89224793713514,76.03186581225755,"[89771.13618920892, 164163.12751608714, 274734.9226133976, 386115.5517979778, 386762.7887184529, 204790.83787926575]"
215.0,1900.0,9.52,0.691929,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[277.222990441972, 304.87126693120047, 353.04390557282363, 426.4625629632774, 513.0858330066787, 576.9894808894117]",333700,-69.9,392.6,402.1394784,4.02,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.7722299044197203, 6.097425338624009, 14.121756222912946, 34.11700503706219, 82.0937332810686, 184.63663388461174]",0.6300000000000001,-82.05656436450187,89.30910535762146,"[82307.67881336619, 150514.81518639842, 251893.8127464267, 354014.39896283543, 354607.82543406036, 187764.78970434313]"
215.0,2000.0,10.04,0.700645,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[262.5910022904519, 291.4926185220439, 341.84899843692835, 418.5958387314513, 509.14587748324516, 575.9463779638115]",333700,-60.8,232.9,406.76978,3.75,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.6259100229045194, 5.829852370440879, 13.673959937477134, 33.487667098516106, 81.46334039731923, 184.30284094841969]",0.6300000000000001,-83.93502837790324,87.15286475530687,"[48826.94446162247, 89289.09948271063, 149429.62044993072, 210010.0700928282, 210362.10530716417, 111386.70280728865]"
215.0,2100.0,10.74,0.692066833,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[256.0320518266533, 285.49549145499395, 336.8307575396013, 415.0694926180866, 507.3797488587434, 575.4787955446072]",333700,-42.9,104.4,401.4725384,3.54,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.5603205182665327, 5.709909829099879, 13.473230301584051, 33.20555940944693, 81.18075981739895, 184.15321457427433]",0.6300000000000001,-91.12974361125657,87.0570274582519,"[21887.217697695956, 40024.82604549156, 66983.47949752153, 94139.33584238416, 94297.13951939861, 49930.32105230113]"
215.0,2200.0,11.03,0.692439333,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[252.64577376153122, 282.3992735535189, 334.23992244031075, 413.2488982166464, 506.4679257470514, 575.2373904450372]",333700,-43.7,53.9,401.4583095,3.35,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.526457737615312, 5.6479854710703785, 13.36959689761243, 33.05991185733171, 81.03486811952823, 184.07596494241193]",0.6300000000000001,-93.20811301474765,84.25657848361263,"[11300.009903312386, 20664.158274444388, 34582.46690532961, 48602.58814084775, 48684.05957945963, 25778.20215248114]"
215.0,2300.0,10.65,0.707236667,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[251.72852589973562, 281.5605948640656, 333.5381377937497, 412.7557501969613, 506.22093841067476, 575.1720005664896]",333700,-15.4,14.6,409.8820709,3.43,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.5172852589973562, 5.631211897281312, 13.341525511749987, 33.0204600157569, 80.99535014570796, 184.05504018127667]",0.6300000000000001,-86.87338183527223,83.78440779548389,"[3060.856114811886, 5597.341573411656, 9367.421462297072, 13165.079533513492, 13187.147863823944, 6982.592790839047]"
215.0,2400.0,9.74,0.762616833,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[251.4897901548847, 281.3423086298243, 333.3554815158776, 412.62739660279664, 506.1566540354534, 575.1549812830319]",333700,-10.9,3.8,441.9013093,3.31,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.514897901548847, 5.626846172596486, 13.334219260635106, 33.01019172822373, 80.98506464567255, 184.04959401057022]",0.6300000000000001,-67.80258871520005,75.09188833523434,"[796.6611805674783, 1456.8423273263202, 2438.0959970362246, 3426.52754981858, 3432.2713618171915, 1817.3871647389296]"
216.0,100.0,10.09,0.8113325,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[251.45901759123322, 281.31408568526246, 333.3317686647408, 412.6106608914493, 506.14824154687926, 575.152834218816]",333700,1.0,0.5,469.915938,3.22,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.5145901759123324, 5.626281713705249, 13.333270746589633, 33.008852871315945, 80.98371864750068, 184.04890695002112]",0.6300000000000001,-58.25674074803559,75.26462186625957,"[104.82383954835231, 191.6897799113581, 320.80210487318743, 450.85888813402363, 451.6146528706831, 239.12989009722762]"
216.0,200.0,9.09,0.847861333,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[251.4600211787251, 281.3148671941439, 333.3322712679571, 412.6109004215456, 506.14831357211193, 575.1529788196954]",333700,8.2,0.0,491.1209743,3.05,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.514600211787251, 5.626297343882879, 13.333290850718283, 33.00887203372365, 80.98373017153791, 184.04895322230252]",0.6300000000000001,-45.37717833529959,65.38441841679604,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
216.0,300.0,9.29,0.873029833,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[251.46105610157522, 281.3156731069979, 333.33278956754936, 412.6111474328101, 506.14838784712975, 575.1531279370962]",333700,11.2,0.0,505.546336,2.68,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.5146105610157523, 5.626313462139958, 13.333311582701974, 33.00889179462481, 80.98374205554076, 184.04900093987078]",0.6300000000000001,-40.673777417901924,58.56207434698906,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
216.0,400.0,9.19,0.8722455,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[251.437123097174, 281.29362856281716, 333.3141625811236, 412.5979224651322, 506.14170704919337, 575.1515090336226]",333700,19.6,0.4,505.0264624,2.52,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.51437123097174, 5.625872571256343, 13.332566503244944, 33.00783379721058, 80.98267312787094, 184.04848289075923]",0.6300000000000001,-40.522849841470126,54.591629621615354,"[83.8590716386818, 153.3518239290866, 256.64168389854984, 360.687110507219, 361.2917222965465, 191.30391207778212]"
216.0,500.0,8.2,0.912980667,0,0,0,0,1.0,90.0,1000.0,0.35,0.005,1000.0,0.0065,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]",1,1,890,6,3600,"[250.48334334674308, 280.4214185194227, 332.5841381598886, 412.08479408828197, 505.8846554825861, 575.0836039097421]",333700,12.8,15.2,528.932816,2.5,6,"[0.01, 0.02, 0.04, 0.08, 0.16, 0.32]","[2.504833433467431, 5.608428370388453, 13.303365526395543, 32.96678352706256, 80.94154487721377, 184.02675325111747]",0.6300000000000001,-28.52197453968762,49.26444921086255,"[3186.644722269913, 5827.369309305281, 9752.383988144898, 13706.11019927432, 13729.085447268766, 7269.548658955719]"
